"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Cliques no link","Toques em figurinhas"
18131923093553460,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,34,"04/10/2026 06:38",https://www.instagram.com/stories/megaelectronicosparaguay/3872251060757460207,"Story do Instagram",,Total,1677,1449,10,7,1,0,1525,,,
18087164180194826,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","GS. 3.920.000 Xiaomi Poco X8 Pro Iro Man Edition de 512GB",19,"04/10/2026 06:35",https://www.instagram.com/stories/megaelectronicosparaguay/3872249670052053027,"Story do Instagram",,Total,1781,1472,15,3,,2,1620,,,
17959237755083206,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","La Copa Mundial versión LEGO 😍🏆",20,"04/10/2026 06:02",https://www.instagram.com/stories/megaelectronicosparaguay/3872232885412124096,"Story do Instagram",,Total,1797,1472,8,4,6,1,1725,,,
18171244930406378,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Quédense atentos a las historias de hoy  Buen díaaa ¡Hay muchas novedades!",23,"04/10/2026 05:45",https://www.instagram.com/stories/megaelectronicosparaguay/3872225473036757495,"Story do Instagram",,Total,1917,1615,18,3,13,0,1654,,,
17944283063999674,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Speaker Aiwa de 500watts  GS. 500.000 OBS: Valor sujeto a alteración sin previo aviso",21,"04/09/2026 10:30",https://www.instagram.com/stories/megaelectronicosparaguay/3871643176503861226,"Story do Instagram",,Total,1107,920,5,0,4,0,1055,,,
18092310767326371,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Speaker Aiwa de 900 watts  GS. 754.000 OBS: Valor sujeto a alteración sin previo aviso",29,"04/09/2026 10:28",https://www.instagram.com/stories/megaelectronicosparaguay/3871642332962160852,"Story do Instagram",,Total,1131,947,4,1,,0,1083,,,
17966278562901181,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Les muestro las mejores opciones de Speaker  En las siguientes historias",20,"04/09/2026 10:17",https://www.instagram.com/stories/megaelectronicosparaguay/3871636346004275125,"Story do Instagram",,Total,1105,959,4,1,,0,1079,,,
18040259885570599,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,8,"04/09/2026 10:13",https://www.instagram.com/stories/megaelectronicosparaguay/3871634330481799770,"Story do Instagram",,Total,1043,961,3,0,1,0,1010,,,
18385476196091274,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,10,"04/09/2026 10:12",https://www.instagram.com/stories/megaelectronicosparaguay/3871634097303691565,"Story do Instagram",,Total,1049,972,4,0,1,0,1023,,,
18146236456433687,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,10,"04/09/2026 10:12",https://www.instagram.com/stories/megaelectronicosparaguay/3871634009072311678,"Story do Instagram",,Total,1092,1000,4,0,,0,1063,,,
18131186464483376,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,8,"04/09/2026 10:12",https://www.instagram.com/stories/megaelectronicosparaguay/3871633884711189560,"Story do Instagram",,Total,1165,1025,5,0,3,0,1111,,,
18103504546913941,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Gracias por la preferencia ¡Felicitaciones Diego Báez!🥳",18,"04/09/2026 08:12",https://www.instagram.com/stories/megaelectronicosparaguay/3871573550679961549,"Story do Instagram",,Total,1244,1041,5,0,3,0,1184,,,
17865717663667988,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/09/2026 06:59",https://www.instagram.com/stories/megaelectronicosparaguay/3871536806060341119,"Story do Instagram",,Total,1204,1052,7,0,3,0,1178,,,
18167490109420593,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Unisex L’Haya Mansoury de 100ml GS. 199.000 OBS: Valor sujeto a alteración sin previo aviso",28,"04/09/2026 06:57",https://www.instagram.com/stories/megaelectronicosparaguay/3871536082593243029,"Story do Instagram",,Total,1167,1081,4,1,,0,1130,,,
18094014674166239,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","L’Haya Marshmallow Candy de 100ml GS. 199.000 OBS: Valor sujeto a alteración sin previo aviso",30,"04/09/2026 06:49",https://www.instagram.com/stories/megaelectronicosparaguay/3871532072058475271,"Story do Instagram",,Total,1192,1106,6,0,1,0,1145,,,
18399374194149375,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume L’Haya Oud Royale  GS. 223.000 OBS: Valor sujeto a alteración sin previo aviso",37,"04/09/2026 06:46",https://www.instagram.com/stories/megaelectronicosparaguay/3871531051148054115,"Story do Instagram",,Total,1248,1142,6,0,1,0,1202,,,
18118193110630501,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Unisex L’Haya Maharaja de 100ml GS. 199.000 OBS: Valor sujeto a alteración sin previo aviso",43,"04/09/2026 06:43",https://www.instagram.com/stories/megaelectronicosparaguay/3871528838132610435,"Story do Instagram",,Total,1308,1190,8,0,2,0,1249,,,
18576977401036484,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","BUEN DÍAAA ¿Preparados para ver los perfumes recomendados del día? 👀",24,"04/09/2026 06:39",https://www.instagram.com/stories/megaelectronicosparaguay/3871526925152500480,"Story do Instagram",,Total,1471,1321,10,0,6,0,1340,,,
18112885927739765,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,8,"04/08/2026 12:10",https://www.instagram.com/stories/megaelectronicosparaguay/3870968641597163372,"Story do Instagram",,Total,1374,1214,7,0,7,0,1246,1,,
18114109567742322,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","¡Felicitaciones Viviana  Elizabeth Godoy! Gracias por la preferencia🥳",20,"04/08/2026 12:07",https://www.instagram.com/stories/megaelectronicosparaguay/3870967287935866046,"Story do Instagram",,Total,1400,1262,6,0,,0,1326,,,
18109063096832588,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Perfume Femenino Nina Ricci Fleur EDT 80ml  Antes: GS. 445.000❌ Ahora: GS. 421.000✅",32,"04/08/2026 08:51",https://www.instagram.com/stories/megaelectronicosparaguay/3870868722194559608,"Story do Instagram",,Total,1406,1211,7,0,1,0,1365,1,,
17899518225263333,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Antes: GS. 3.964.000❌ Ahora: GS. 3.813.000✅ Tablet Xiaomi Pad Mini 512GB y 12GB RAM",25,"04/08/2026 08:48",https://www.instagram.com/stories/megaelectronicosparaguay/3870867317723471106,"Story do Instagram",,Total,1502,1262,5,0,4,0,1451,,,
18100152619801565,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Termo Hydrate Forge de 1.2 Litros  Antes: GS. 318.000❌ Ahora: GS. 302.000✅",17,"04/08/2026 08:45",https://www.instagram.com/stories/megaelectronicosparaguay/3870865766342717969,"Story do Instagram",,Total,1629,1312,5,0,2,0,1531,,5,
18390783238159632,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/08/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3870777511333056553,"Story do Instagram",,Total,1507,1203,4,0,2,1,1487,,,
