"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Toques em figurinhas","Cliques no link"
17875696176440199,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X5 Power 10 watts P.M.P.O com Bluetooth - Preto U$ 9.90-R$ 53.56 Valor sujeito a alterações  O Speaker Bluetooth Audisat X5 Power oferece um som potente de 5W RMS em um design compacto e moderno .Com Bluetooth 6.0, ele garante uma conexão estável e rápida, e ainda conta com a tecnologia TWS, que permite emparelhar outro alto-falante igual e duplicar a potência sonora.Sua bateria de 1.200 mAh oferece até 20 horas de reprodução, sendo ideal para festas, viagens e momentos de lazer.Ele inclui controles integrados e uma alça de transporte prática.",0,"11/11/2025 05:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3763523379300241208,"Story do Instagram",,Total,7066,6367,10,2,5,1,6840,,,
17919072027197831,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X10 20 watts P.M.P.O com Bluetooth - Preto U$ 15.90-R$ 86.02 Valor sujeito a alterações",19,"11/11/2025 05:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3763515680319730692,"Story do Instagram",,Total,7325,6523,17,11,11,0,7032,,,
18046511507678427,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Speaker Audisat X5 Play 10 watts P.M.P.O com Bluetooth - Preto U$ 8.90-R$ 48.15 Valor sujeito a alterações  O Speaker Audisat X5 Play oferece 5W de potência nominal com som claro e envolvente. Equipado com Bluetooth 6.0 e alcance de até 10 metros, garante conectividade estável. Possui Tecnologia TWS para emparelhar outra caixa e aumentar o som, controles integrados e alça para transporte. Com bateria de 1.200 mAh, proporciona até 4 horas de música e recarga rápida em 2 horas via USB-C. Ideal para música em casa ou festas.",0,"11/11/2025 04:52",https://www.instagram.com/stories/megaeletronicosoficialpy/3763511505837992007,"Story do Instagram",,Total,7765,6686,15,5,7,0,7419,1,,
18077727817936496,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio Audisat X5 Pro 
Cód.: 1490701
U$ 10.90",14,"11/11/2025 04:44",https://www.instagram.com/stories/megaeletronicosoficialpy/3763507761935128224,"Story do Instagram",,Total,8109,6925,17,28,12,4,7243,,,
18088898150482468,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Loja Aberta até as 16:30 🏃 Cotação do dia: 🇧🇷 5.41",14,"11/11/2025 04:40",https://www.instagram.com/stories/megaeletronicosoficialpy/3763505340638931615,"Story do Instagram",,Total,8631,7504,20,5,12,4,7784,,,
17993644940846542,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,37,"11/10/2025 14:23",https://www.instagram.com/stories/megaeletronicosoficialpy/3763073953033167491,"Story do Instagram",,Total,9960,8543,15,4,40,0,6189,6,,
18059510147222740,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/10/2025 10:31",https://www.instagram.com/stories/megaeletronicosoficialpy/3762957374056424189,"Story do Instagram",,Total,6962,6022,8,6,28,2,6681,,28,
17864204778432814,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"11/10/2025 10:31",https://www.instagram.com/stories/megaeletronicosoficialpy/3762957306880429391,"Story do Instagram",,Total,7380,6319,15,14,17,2,6928,1,15,
18103600255618551,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Relógio QCY Urban GS WA24S9A com GPS Bluetooth  U$ 45.00 - R$ 243.90
 preço sujeito a alteração  O smartwatch QCY Urban GS WA24S9A tem tela AMOLED HD de 1,95”, bateria de até 14 dias e resistência 5 ATM. Monitora saúde, sono e mais de 120 esportes, além de oferecer notificações inteligentes via Bluetooth, perfeito para um estilo de vida moderno e ativo",19,"11/10/2025 04:49",https://www.instagram.com/stories/megaeletronicosoficialpy/3762785290554537041,"Story do Instagram",,Total,7725,6414,10,20,42,3,7327,,,
17953408152039916,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","U$ 24.00 - R$ 130.08
 Relógio QCY GT2 WA23S3A com Bluetooth",0,"11/10/2025 04:41",https://www.instagram.com/stories/megaeletronicosoficialpy/3762781158259104357,"Story do Instagram",,Total,7824,6575,11,15,4,0,7291,1,,
